0,1,2,3
Members of Robert Mueller’s team,,“viciously telling witnesses to lie about facts”,https://twitter.com/realDonaldTrump/status/1067775022331236352
Members of Robert Mueller’s team,,"“Angry Democrats,  aren’t even looking at the atrocious, and perhaps subversive, crimes that were committed by Crooked Hillary Clinton and the Democrats”",https://twitter.com/realDonaldTrump/status/1068110895409233921
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“will he be covering all of his conflicts of interest in a preamble”,https://twitter.com/realDonaldTrump/status/1067063727994884096
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“a conflicted prosecutor gone rogue....”,https://twitter.com/realDonaldTrump/status/1067395266511347713
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director","“only looking at one side, not the other”",https://twitter.com/realDonaldTrump/status/1067395266511347713
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director","“The Fake News Media builds Bob Mueller up as a Saint, when in actuality he is the exact opposite”",https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“doing TREMENDOUS damage to our Criminal Justice System”,https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“he is only looking at one side and not the other”,https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“refuses to look at the real crimes on the other side”,https://twitter.com/realDonaldTrump/status/1068339979250675712
North American Free Trade Agreement,,“terrible”,https://twitter.com/realDonaldTrump/status/1068516326010830849
Allegations of collusion between Russia and members of the Trump campaign,,“Phony Witch Hunt”,https://twitter.com/realDonaldTrump/status/1067395266511347713
Allegations of collusion between Russia and members of the Trump campaign,,"“$30,000,000 Witch Hunt”",https://twitter.com/realDonaldTrump/status/1067404517841518593
Allegations of collusion between Russia and members of the Trump campaign,,“The Mueller Witch Hunt”,https://twitter.com/realDonaldTrump/status/1067576713859817472
Allegations of collusion between Russia and members of the Trump campaign,,“a total disgrace”,https://twitter.com/realDonaldTrump/status/1067576713859817472
Allegations of collusion between Russia and members of the Trump campaign,,“discredited Witch Hunt”,https://twitter.com/realDonaldTrump/status/1068001369746022400
Allegations of collusion between Russia and members of the Trump campaign,,“This total Hoax will be studied for years!”,https://twitter.com/realDonaldTrump/status/1068001369746022400
Allegations of collusion between Russia and members of the Trump campaign,,“Did you ever see an investigation more in search of a crime?”,https://twitter.com/realDonaldTrump/status/1068110895409233921
Allegations of collusion between Russia and members of the Trump campaign,,“A total disgrace!”,https://twitter.com/realDonaldTrump/status/1068110895409233921
Allegations of collusion between Russia and members of the Trump campaign,,“illegal Joseph McCarthy style Witch Hunt”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“has shattered so many innocent lives”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,"“wasting more than $40,000,000 (is that possible?)”",https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“So Ridiculous!”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“A total Witch Hunt!”,https://twitter.com/realDonaldTrump/status/1068336562729938945
Allegations of collusion between Russia and members of the Trump campaign,,“an illegal Hoax”,https://twitter.com/realDonaldTrump/status/1068339979250675712
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt!”,https://twitter.com/realDonaldTrump/status/1068444287380025344
Brenda Snipes,"Former Supervisor of Elections for Broward County, Fla.",“was just spotted wearing a beautiful dress with 300 I VOTED signs on it”,https://twitter.com/realDonaldTrump/status/1067623816921272325
The U.S. Justice Department,,“Let these terrible people go back to the Clinton Foundation and “Justice” Department!”,https://twitter.com/realDonaldTrump/status/1067404517841518593
United States,,“going in the wrong direction (to put it mildly)”,https://twitter.com/realDonaldTrump/status/1068442531887632384
White House Correspondents' Dinner,,“a dying evening and tradition!”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Michelle Wolf,Comedian,“So-called comedian”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Michelle Wolf,Comedian,“bombed so badly last year”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Bill Clinton,,“famously missed his shot”,https://twitter.com/realDonaldTrump/status/1064540462848098304
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1064596708875747328
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1064596708875747328
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/1065403512559992832
The “mainstream” media,,“FAKE NEWS”,https://twitter.com/realDonaldTrump/status/1066116263649382400
The “mainstream” media,,“They never like to ask me for a quote b/c it would kill their story”,https://twitter.com/realDonaldTrump/status/1066116263649382400
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“highly conflicted”,https://twitter.com/realDonaldTrump/status/1064216956679716864
United States Court of Appeals for the Ninth Circuit,,“It would be great if the 9th Circuit was indeed an “independent judiciary””,https://twitter.com/realDonaldTrump/status/1065346909362143232
United States Court of Appeals for the Ninth Circuit,,“making our country unsafe!”,https://twitter.com/realDonaldTrump/status/1065351478347530241
United States Court of Appeals for the Ninth Circuit,,“Very dangerous and unwise!”,https://twitter.com/realDonaldTrump/status/1065351478347530241
United States Court of Appeals for the Ninth Circuit,,“people who know nothing about security and the safety of our citizens”,https://twitter.com/realDonaldTrump/status/1065359825654169600
United States Court of Appeals for the Ninth Circuit,,“Not good!”,https://twitter.com/realDonaldTrump/status/1065359825654169600
United States Court of Appeals for the Ninth Circuit,,“a complete & total disaster”,https://twitter.com/realDonaldTrump/status/1065581119242940416
United States Court of Appeals for the Ninth Circuit,,“out of control”,https://twitter.com/realDonaldTrump/status/1065581119242940416
United States Court of Appeals for the Ninth Circuit,,“has a horrible reputation”,https://twitter.com/realDonaldTrump/status/1065581119242940416
United States Court of Appeals for the Ninth Circuit,,“is used to get an almost guaranteed result”,https://twitter.com/realDonaldTrump/status/1065581119242940416
United States Court of Appeals for the Ninth Circuit,,“They know nothing”,https://twitter.com/realDonaldTrump/status/1065583286188158976
United States Court of Appeals for the Ninth Circuit,,“making our Country unsafe”,https://twitter.com/realDonaldTrump/status/1065583286188158976
Pakistan,,“take our money and do nothing for us”,https://twitter.com/realDonaldTrump/status/1064544156960387072
John Roberts,United States Chief Justice,“but you do indeed have “Obama judges””,https://twitter.com/realDonaldTrump/status/1065346909362143232
John Roberts,United States Chief Justice,“Please study the numbers”,https://twitter.com/realDonaldTrump/status/1065351478347530241
Adam Schiff,United States congressman,“little Adam Schitt”,https://twitter.com/realDonaldTrump/status/1064216956679716864
Facebook,,“biased”,https://twitter.com/realDonaldTrump/status/1063084073231544320
Facebook,,“in favor of the Democrats”,https://twitter.com/realDonaldTrump/status/1063084073231544320
Google,,“biased”,https://twitter.com/realDonaldTrump/status/1063084073231544320
Google,,“in favor of the Democrats”,https://twitter.com/realDonaldTrump/status/1063084073231544320
The “mainstream” media,,“Fake News!”,https://twitter.com/realDonaldTrump/status/1062371844836261891
The “mainstream” media,,"“FAKE NEWS MEDIA,  crazy”",https://twitter.com/realDonaldTrump/status/1063038733673525248
The “mainstream” media,,“always seeking to make us look as bad as possible”,https://twitter.com/realDonaldTrump/status/1063038733673525248
The “mainstream” media,,“Very dishonest!”,https://twitter.com/realDonaldTrump/status/1063038733673525248
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1063517548258447361
The “mainstream” media,,“FAKE NEWS”,https://twitter.com/realDonaldTrump/status/1063834733430206465
The “mainstream” media,,“the Enemy of the People!”,https://twitter.com/realDonaldTrump/status/1063834733430206465
Members of Robert Mueller’s team,,"“have gone absolutely nuts,  They are screaming and shouting at people, horribly threatening them to come up with the answers they want”",https://twitter.com/realDonaldTrump/status/1063042585802039296
Members of Robert Mueller’s team,,“a disgrace to our Nation”,https://twitter.com/realDonaldTrump/status/1063042585802039296
Members of Robert Mueller’s team,,"“Angry People,  They won’t even look at all of the bad acts and crimes on the other side”",https://twitter.com/realDonaldTrump/status/1063046973857718272
Members of Robert Mueller’s team,,“gang of Democrat thugs”,https://twitter.com/realDonaldTrump/status/1063081553075625984
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“highly conflicted”,https://twitter.com/realDonaldTrump/status/1063046973857718272
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“highly conflicted (and NOT Senate approved)”,https://twitter.com/realDonaldTrump/status/1063081553075625984
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director","“Why is he protecting Crooked Hillary, Comey, McCabe, Lisa Page & her lover, Peter S, and all of his friends on the other side?”",https://twitter.com/realDonaldTrump/status/1063081553075625984
The New York Times,,“inaccurate”,https://twitter.com/realDonaldTrump/status/1062391577807601664
The New York Times,,“Fake News”,https://twitter.com/realDonaldTrump/status/1062391577807601664
