0,1,2,3
The New York Times,,“has called me wrong right from the beginning!”,https://twitter.com/realDonaldTrump/status/1000391997969092608
The New York Times,,“Failing”,https://twitter.com/realDonaldTrump/status/1000396430371106817
The New York Times,,"“quotes ‘a senior White House official,’ who doesn’t exist”",https://twitter.com/realDonaldTrump/status/1000396430371106817
The New York Times,,“WRONG AGAIN!”,https://twitter.com/realDonaldTrump/status/1000396430371106817
The New York Times,,“phony sources”,https://twitter.com/realDonaldTrump/status/1000396430371106817
The Obama administration,,“did NOTHING on trade except let other countries rip off the United States”,https://twitter.com/realDonaldTrump/status/1000145873274359809
Tony Podesta,Prominent lobbyist and Democratic donor; brother to John Podesta,"“a VERY well connected Democrat working in the Swamp of Washington, D.C.”",https://twitter.com/realDonaldTrump/status/998202784683053056
Allegations of collusion between Russia and members of the Trump campaign,,“the World’s most expensive Witch Hunt”,https://twitter.com/realDonaldTrump/status/998187672979038208
Allegations of collusion between Russia and members of the Trump campaign,,"“$20,000,000 Witch Hunt”",https://twitter.com/realDonaldTrump/status/998189366844559360
Allegations of collusion between Russia and members of the Trump campaign,,“Scam”,https://twitter.com/realDonaldTrump/status/998191501451628544
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/998194013193822208
Allegations of collusion between Russia and members of the Trump campaign,,“Fraudulent”,https://twitter.com/realDonaldTrump/status/998194013193822208
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/998250447394820096
Allegations of collusion between Russia and members of the Trump campaign,,“Criminal Deep State”,https://twitter.com/realDonaldTrump/status/999242039723163648
Allegations of collusion between Russia and members of the Trump campaign,,“Phony”,https://twitter.com/realDonaldTrump/status/999242039723163648
Allegations of collusion between Russia and members of the Trump campaign,,“a made up Scam”,https://twitter.com/realDonaldTrump/status/999242039723163648
Allegations of collusion between Russia and members of the Trump campaign,,“WITCH HUNT!”,https://twitter.com/realDonaldTrump/status/999282325316866048
Allegations of collusion between Russia and members of the Trump campaign,,“the Russian Hoax”,https://twitter.com/realDonaldTrump/status/999984492197613568
Allegations of collusion between Russia and members of the Trump campaign,,“phony”,https://twitter.com/realDonaldTrump/status/1000458567147839488
Allegations of collusion between Russia and members of the Trump campaign,,“Rigged”,https://twitter.com/realDonaldTrump/status/1000462031500099584
Allegations of collusion between Russia and members of the Trump campaign,,“an excuse as to why the Dems and Crooked Hillary lost the Election”,https://twitter.com/realDonaldTrump/status/1000462031500099584
Bernie Sanders,United States senator,“got duped!”,https://twitter.com/realDonaldTrump/status/999096013674680321
"""Spygate""",Allegation of an F.B.I. spy being planted in Trump campaign.,“a terrible thing!”,https://twitter.com/realDonaldTrump/status/999626347361206274
The U.S. Justice Department,,“crooked”,https://twitter.com/realDonaldTrump/status/1000458567147839488
Bob Casey,United States senator,“a do-nothing Senator who only shows up at election time”,https://twitter.com/realDonaldTrump/status/996822738101825538
Bob Casey,United States senator,"“loves sanctuary cities, bad and expensive healthcare”",https://twitter.com/realDonaldTrump/status/996822738101825538
Bob Casey,United States senator,“weak on borders and crime”,https://twitter.com/realDonaldTrump/status/996822740320575488
Bob Casey,United States senator,“our great Military and Vets mean nothing to Bobby Jr.”,https://twitter.com/realDonaldTrump/status/996822740320575488
CNN,,“have typically written false stories”,https://twitter.com/realDonaldTrump/status/996739372723638272
Democrats,,“The only Collusion was that done by Democrats”,https://twitter.com/realDonaldTrump/status/997076300476055552
Leakers,,“traitors and cowards”,https://twitter.com/realDonaldTrump/status/996129630913482755
Leakers,,“we will find out who they are!”,https://twitter.com/realDonaldTrump/status/996129630913482755
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/996129630913482755
The “mainstream” media,,"“made up, unsourced stories”",https://twitter.com/realDonaldTrump/status/996391840860471296
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/996391840860471296
The “mainstream” media,,“Much of the Media may be corrupt”,https://twitter.com/realDonaldTrump/status/996391840860471296
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/997112687799697408
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/997429518867591170
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/997429518867591170
The “mainstream” media,,"“got it purposely wrong, as usual!”",https://twitter.com/realDonaldTrump/status/997429518867591170
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/997474432443707393
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/997474432443707393
The “mainstream” media,,"“got it purposely wrong, as usual!”",https://twitter.com/realDonaldTrump/status/997474432443707393
Andrew McCabe,"Deputy Director, F.B.I.",“disgrace”,https://twitter.com/realDonaldTrump/status/997471413266247681
MS-13,International criminal gang,“Animals”,https://twitter.com/realDonaldTrump/status/997429518867591170
Allegations of collusion between Russia and members of the Trump campaign,,"“$10,000,000 Russian Witch Hunt”",https://twitter.com/realDonaldTrump/status/996391840860471296
Allegations of collusion between Russia and members of the Trump campaign,,“the greatest Witch Hunt in American History”,https://twitter.com/realDonaldTrump/status/997076300476055552
Allegations of collusion between Russia and members of the Trump campaign,,"“disgusting, illegal and unwarranted Witch Hunt”",https://twitter.com/realDonaldTrump/status/997112687799697408
Allegations of collusion between Russia and members of the Trump campaign,,“phony Russia Hoax”,https://twitter.com/realDonaldTrump/status/997474432443707393
The Washington Post,,“have typically written false stories”,https://twitter.com/realDonaldTrump/status/996739372723638272
James Comey,Former F.B.I. director,“Thought he was terrible until I fired him!”,https://twitter.com/realDonaldTrump/status/994585463380987904
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“Socialist”,https://twitter.com/realDonaldTrump/status/994185337504137216
Richard Cordray,"Former director, U.S. Consumer Financial Protection Bureau",“a big failure in last job!”,https://twitter.com/realDonaldTrump/status/994185337504137216
Democrats,,"“doing everything possible to obstruct, all they know how to do”",https://twitter.com/realDonaldTrump/status/995428472674758656
Iran,,“the world’s leading state sponsor of terror”,https://twitter.com/realDonaldTrump/status/993976643898281984
The Iran nuclear deal,,“defective at its core”,https://twitter.com/realDonaldTrump/status/993976643898281984
The Iran nuclear deal,,“Bad”,https://twitter.com/realDonaldTrump/status/994585463380987904
The Iran nuclear deal,,“it was all a big lie”,https://twitter.com/realDonaldTrump/status/995424104286179328
John Kerry,Former Secretary of State,“The United States does not need John Kerry’s possibly illegal Shadow Diplomacy”,https://twitter.com/realDonaldTrump/status/993492804985872385
John Kerry,Former Secretary of State,“created this MESS in the first place!”,https://twitter.com/realDonaldTrump/status/993492804985872385
John Kerry,Former Secretary of State,“very badly negotiated”,https://twitter.com/realDonaldTrump/status/993492804985872385
John Kerry,Former Secretary of State,“MESS”,https://twitter.com/realDonaldTrump/status/993492804985872385
The “mainstream” media,,“The Fake News is working overtime”,https://twitter.com/realDonaldTrump/status/994179864436596736
The “mainstream” media,,“Fake”,https://twitter.com/realDonaldTrump/status/994179864436596736
The “mainstream” media,,“Why do we work so hard in working with the media when it is corrupt? Take away credentials?”,https://twitter.com/realDonaldTrump/status/994179864436596736
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/995088584221839360
The “mainstream” media,,“a disgrace!”,https://twitter.com/realDonaldTrump/status/995088584221839360
Members of Robert Mueller’s team,,“13 Angry Democrats”,https://twitter.com/realDonaldTrump/status/993455375755173892
Members of Robert Mueller’s team,,“just wait ’till the Courts get to see your unrevealed Conflicts of Interest!”,https://twitter.com/realDonaldTrump/status/993455375755173892
The New York Times,,“Failing”,https://twitter.com/realDonaldTrump/status/994345813064192012
The New York Times,,"“Fake News, so bad!”",https://twitter.com/realDonaldTrump/status/994345813064192012
Lisa Page,Former F.B.I. aide,“may hold the record for the most Emails in the shortest period of time”,https://twitter.com/realDonaldTrump/status/993483042177118208
Nancy Pelosi,U.S. House minority leader,“wanting to end the big Tax Cuts and Raise Taxes”,https://twitter.com/realDonaldTrump/status/994176238846664706
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/993452275648679938
Allegations of collusion between Russia and members of the Trump campaign,,“is rapidly losing credibility”,https://twitter.com/realDonaldTrump/status/993452275648679938
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/993455375755173892
Allegations of collusion between Russia and members of the Trump campaign,,“Phony Witch Hunt”,https://twitter.com/realDonaldTrump/status/993484478633922560
Chuck Schumer,United States senator,“Cryin’ Chuck Schumer”,https://twitter.com/realDonaldTrump/status/994585463380987904
White House Correspondents' Dinner,,"“a very big, boring bust”",https://twitter.com/realDonaldTrump/status/990557728752926725
White House Correspondents' Dinner,,“a failure”,https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,“an embarrassment to everyone associated with it”,https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,"“Put Dinner to rest, or start over!”",https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,“filthy ‘comedian’”,https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,“totally bombed”,https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,“couldn’t even deliver her lines-much like the Seth Meyers weak performance”,https://twitter.com/realDonaldTrump/status/990782291667488768
White House Correspondents' Dinner,,“DEAD as we know it”,https://twitter.com/realDonaldTrump/status/990926480329859073
White House Correspondents' Dinner,,“a total disaster”,https://twitter.com/realDonaldTrump/status/990926480329859073
White House Correspondents' Dinner,,“an embarrassment”,https://twitter.com/realDonaldTrump/status/990926480329859073
Michelle Wolf,Comedian,“so-called comedian”,https://twitter.com/realDonaldTrump/status/990557728752926725
Michelle Wolf,Comedian,“really bombed’”,https://twitter.com/realDonaldTrump/status/990557728752926725
CNN,,“Fake News”,https://twitter.com/realDonaldTrump/status/992354530510721025
Democrats,,“want to disarm law-abiding Americans at the same time they are releasing dangerous criminal aliens and savage gang members onto our streets”,https://twitter.com/realDonaldTrump/status/992523949698412544
The electoral process,,“rigged”,https://twitter.com/realDonaldTrump/status/991672075491438594
The electoral process,,“Rigged”,https://twitter.com/realDonaldTrump/status/991690248399794176
The “mainstream” media,,“FAKE NEWS”,https://twitter.com/realDonaldTrump/status/990926480329859073
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/991087278515769345
The “mainstream” media,,“going crazy making up false stories and using only unnamed sources (who don't exist)”,https://twitter.com/realDonaldTrump/status/991087278515769345
The “mainstream” media,,“totally unhinged”,https://twitter.com/realDonaldTrump/status/991087278515769345
The “mainstream” media,,“the great success of this Administration is making them do and say things that even they can't believe they are saying”,https://twitter.com/realDonaldTrump/status/991087278515769345
The “mainstream” media,,“Truly bad people!”,https://twitter.com/realDonaldTrump/status/991087278515769345
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/991090373417152515
The “mainstream” media,,“going ‘bonkers!’”,https://twitter.com/realDonaldTrump/status/991090373417152515
Mexico,,“has a massive crime problem”,https://twitter.com/realDonaldTrump/status/992348740529815552
Mexico,,“is doing little to help!”,https://twitter.com/realDonaldTrump/status/992348740529815552
Seth Meyers,"Comedian and Host, “Late Night with Seth Meyers”",“weak performance”,https://twitter.com/realDonaldTrump/status/990782291667488768
NBC News,,“is wrong again!”,https://twitter.com/realDonaldTrump/status/992354530510721025
NBC News,,"“They cite ‘sources’ which are constantly wrong. Problem is, like so many others, the sources probably don’t exist, they are fabricated, fiction!,  is now as bad as Fake News CNN”",https://twitter.com/realDonaldTrump/status/992354530510721025
NBC News,,“Sad!”,https://twitter.com/realDonaldTrump/status/992354530510721025
Allegations of collusion between Russia and members of the Trump campaign,,“phony”,https://twitter.com/realDonaldTrump/status/991090373417152515
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/991090373417152515
Allegations of collusion between Russia and members of the Trump campaign,,“So disgraceful”,https://twitter.com/realDonaldTrump/status/991267863674675200
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/991267863674675200
Allegations of collusion between Russia and members of the Trump campaign,,"“a made up, phony crime, Collusion, that never existed”",https://twitter.com/realDonaldTrump/status/991267863674675200
Allegations of collusion between Russia and members of the Trump campaign,,“an investigation begun with illegally leaked classified information”,https://twitter.com/realDonaldTrump/status/991267863674675200
Allegations of collusion between Russia and members of the Trump campaign,,“a crime that never happened!”,https://twitter.com/realDonaldTrump/status/991279620044591105
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt!”,https://twitter.com/realDonaldTrump/status/991279620044591105
Allegations of collusion between Russia and members of the Trump campaign,,“a Hoax”,https://twitter.com/realDonaldTrump/status/991644756995444736
Allegations of collusion between Russia and members of the Trump campaign,,“a setup & trap”,https://twitter.com/realDonaldTrump/status/991644756995444736
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt!”,https://twitter.com/realDonaldTrump/status/991644756995444736
U.S. immigration policies,,“weak & ineffective”,https://twitter.com/realDonaldTrump/status/991084424992296962
The Comey Memos,Memos released by the former F.B.I. director James Comey,“dumb”,https://twitter.com/realDonaldTrump/status/988146462625181696
Laws pertaining to “sanctuary cities”,,“so bad and one sided”,https://twitter.com/realDonaldTrump/status/988413372298416128
Jon Tester,United States Senator,“Allegations made by Senator Jon Tester against Admiral/Doctor Ron Jackson are proving false”,https://twitter.com/realDonaldTrump/status/990200773232529413
Jon Tester,United States Senator,“Tester should resign”,https://twitter.com/realDonaldTrump/status/990200773232529413
Jon Tester,United States Senator,“Not fair”,https://twitter.com/realDonaldTrump/status/990202926114189312
Jon Tester,United States Senator,“Tester should lose race in Montana”,https://twitter.com/realDonaldTrump/status/990307626784362496
Jon Tester,United States Senator,“Very dishonest and sick!”,https://twitter.com/realDonaldTrump/status/990307626784362496
James Clapper,Former Director of National Intelligence,“lied about (fraudulent) Dossier leaks”,https://twitter.com/realDonaldTrump/status/990213619190202369
James Clapper,Former Director of National Intelligence,“a lying machine”,https://twitter.com/realDonaldTrump/status/990213619190202369
CNN,,“Fake News”,https://twitter.com/realDonaldTrump/status/990213619190202369
James Comey,Former F.B.I. director,“illegally leaked CLASSIFIED INFORMATION but doesn’t understand what he did or how serious it is”,https://twitter.com/realDonaldTrump/status/989813047773614080
James Comey,Former F.B.I. director,“lied all over the place”,https://twitter.com/realDonaldTrump/status/989813047773614080
James Comey,Former F.B.I. director,“either very sick or very dumb”,https://twitter.com/realDonaldTrump/status/989813047773614080
Democrats,,“Obstructionists”,https://twitter.com/realDonaldTrump/status/988405962624118785
Groups of would-be immigrants approaching the border,,“a disgrace”,https://twitter.com/realDonaldTrump/status/988413372298416128
The “mainstream” media,,“so silent”,https://twitter.com/realDonaldTrump/status/989110172495810560
Allegations of collusion between Russia and members of the Trump campaign,,“A total Witch Hunt!”,https://twitter.com/realDonaldTrump/status/989870523042680832
Allegations of collusion between Russia and members of the Trump campaign,,“all a big Hoax by the Democrats based on payments and lies”,https://twitter.com/realDonaldTrump/status/990049088375836672
Allegations of collusion between Russia and members of the Trump campaign,,“phony”,https://twitter.com/realDonaldTrump/status/990307626784362496
Chuck Todd,"Moderator, “Meet the Press”",“Sleepy Eyes”,https://twitter.com/realDonaldTrump/status/988037292932653056
Jerry Brown,Governor of California,“not looking for safety and security”,https://twitter.com/realDonaldTrump/status/986218870506754048
The Comey Memos,Memos released by the former F.B.I. director James Comey,“phony memos”,https://twitter.com/realDonaldTrump/status/985487209510948864
The Comey Memos,Memos released by the former F.B.I. director James Comey,“self serving and FAKE!”,https://twitter.com/realDonaldTrump/status/985496023555608576
"“A Higher Loyalty: Truth, Lies, and Leadership”",Book by James Comey,“badly reviewed book”,https://twitter.com/realDonaldTrump/status/985487209510948864
"“A Higher Loyalty: Truth, Lies, and Leadership”",Book by James Comey,“a third rate book (that should never have been written)”,https://twitter.com/realDonaldTrump/status/987278269765517312
Sam Nunberg,Former adviser to President Trump,“a drunk/drugged up loser”,https://twitter.com/realDonaldTrump/status/987679850545778689
OPEC,,“Oil prices are artificially Very High!”,https://twitter.com/realDonaldTrump/status/987284041304100864
OPEC,,“No good and will not be accepted!”,https://twitter.com/realDonaldTrump/status/987284041304100864
Russia,,“playing the Currency Devaluation game”,https://twitter.com/realDonaldTrump/status/985858100149309441
Russia,,“Not acceptable!”,https://twitter.com/realDonaldTrump/status/985858100149309441
“Sanctuary Cities”,Cities that limit cooperation with the government over unauthorized immigration,"“ridiculous, crime infested & breeding concept”",https://twitter.com/realDonaldTrump/status/986544648477868032
"Stormy Daniels and her legal team
",Their claim that she was threatened by an unidentified man,“A total con job”,https://twitter.com/realDonaldTrump/status/986547093610299392
ABC News-Washington Post poll,,“Just about the most inaccurate”,https://twitter.com/realDonaldTrump/status/986303188587425794
ABC News-Washington Post poll,,“they haven't changed (get new pollsters)”,https://twitter.com/realDonaldTrump/status/986303188587425794
Amazon,Online retailer,“States and Cities throughout our Country are being cheated and treated so badly by online retailers”,https://twitter.com/realDonaldTrump/status/986378606606737408
Amazon,Online retailer,“Very unfair to traditional tax paying stores!”,https://twitter.com/realDonaldTrump/status/986378606606737408
China,,“playing the Currency Devaluation game”,https://twitter.com/realDonaldTrump/status/985858100149309441
China,,“Not acceptable!”,https://twitter.com/realDonaldTrump/status/985858100149309441
Hillary Clinton,,“Crooked”,https://twitter.com/realDonaldTrump/status/985483513704124416
Hillary Clinton,,“Crooked H”,https://twitter.com/realDonaldTrump/status/987679848284999680
CNN,,“Just about the most inaccurate”,https://twitter.com/realDonaldTrump/status/986303188587425794
CNN,,“they haven't changed (get new pollsters)”,https://twitter.com/realDonaldTrump/status/986303188587425794
James Comey,Former F.B.I. director,“stupid”,https://twitter.com/realDonaldTrump/status/985483513704124416
James Comey,Former F.B.I. director,“Slimeball!”,https://twitter.com/realDonaldTrump/status/985483513704124416
James Comey,Former F.B.I. director,"“how come he gave up Classified Information (jail), why did he lie to Congress (jail)”",https://twitter.com/realDonaldTrump/status/985487209510948864
James Comey,Former F.B.I. director,“I hardly even knew this guy”,https://twitter.com/realDonaldTrump/status/985496023555608576
James Comey,Former F.B.I. director,“many lies”,https://twitter.com/realDonaldTrump/status/985496023555608576
James Comey,Former F.B.I. director,“Slippery”,https://twitter.com/realDonaldTrump/status/985504808646971392
James Comey,Former F.B.I. director,“a man who always ends up badly and out of whack”,https://twitter.com/realDonaldTrump/status/985504808646971392
James Comey,Former F.B.I. director,“he is not smart!”,https://twitter.com/realDonaldTrump/status/985504808646971392
James Comey,Former F.B.I. director,"“will go down as the WORST FBI Director in history, by far!”",https://twitter.com/realDonaldTrump/status/985504808646971392
James Comey,Former F.B.I. director,“lied in Congress to Senator G”,https://twitter.com/realDonaldTrump/status/985856662866202624
James Comey,Former F.B.I. director,“Disgruntled”,https://twitter.com/realDonaldTrump/status/985856662866202624
James Comey,Former F.B.I. director,“committed many crimes!”,https://twitter.com/realDonaldTrump/status/985856662866202624
James Comey,Former F.B.I. director,“Slippery”,https://twitter.com/realDonaldTrump/status/986576502358671361
James Comey,Former F.B.I. director,“the worst FBI Director in history”,https://twitter.com/realDonaldTrump/status/986576502358671361
James Comey,Former F.B.I. director,“just threw Andrew McCabe ‘under the bus’”,https://twitter.com/realDonaldTrump/status/987100052710674433
James Comey,Former F.B.I. director,“he leaked classified information”,https://twitter.com/realDonaldTrump/status/987173366401585155
James Comey,Former F.B.I. director,“Shadey”,https://twitter.com/realDonaldTrump/status/987278269765517312
James Comey,Former F.B.I. director,“can Leak and Lie and make lots of money from a third rate book”,https://twitter.com/realDonaldTrump/status/987278269765517312
James Comey,Former F.B.I. director,“illegally leaked classified documents”,https://twitter.com/realDonaldTrump/status/987529636656697345
James Comey,Former F.B.I. director,“he broke the law!”,https://twitter.com/realDonaldTrump/status/987774054651301888
James Comey,Former F.B.I. director,“totally made up many of the things he said I said”,https://twitter.com/realDonaldTrump/status/987774054651301888
James Comey,Former F.B.I. director,“a proven liar and leaker”,https://twitter.com/realDonaldTrump/status/987774054651301888
Democrats,,“obstructing good (hopefully great) people wanting”,https://twitter.com/realDonaldTrump/status/987063604691259393
Democrats,,“They are ‘slow walking’ all of my nominations”,https://twitter.com/realDonaldTrump/status/987063604691259393
Democrats,,“Obstructing the process”,https://twitter.com/realDonaldTrump/status/987065049566138375
Democrats,,“Obstructionist”,https://twitter.com/realDonaldTrump/status/987470932989050881
Maggie Haberman,"Reporter, The New York Times",“a third rate reporter”,https://twitter.com/realDonaldTrump/status/987679848284999680
Maggie Haberman,"Reporter, The New York Times",“a Crooked H flunkie who I don’t speak to and have nothing to do with”,https://twitter.com/realDonaldTrump/status/987679848284999680
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/985492862958698497
The “mainstream” media,,“phony stories”,https://twitter.com/realDonaldTrump/status/985529299905187840
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/985529299905187840
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/986303188587425794
The “mainstream” media,,“Much of the media is a Scam!”,https://twitter.com/realDonaldTrump/status/986303188587425794
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/986547093610299392
The “mainstream” media,,“Fools”,https://twitter.com/realDonaldTrump/status/986547093610299392
The “mainstream” media,,“93% bad stories”,https://twitter.com/realDonaldTrump/status/987426984195174405
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/987426984195174405
The “mainstream” media,,“phony an dishonest press”,https://twitter.com/realDonaldTrump/status/987426984195174405
The “mainstream” media,,“Fake & Disgusting News to create ill will!”,https://twitter.com/realDonaldTrump/status/987786331995672576
Andrew McCabe,"Deputy Director, F.B.I.",“committed many crimes!”,https://twitter.com/realDonaldTrump/status/985856662866202624
The New York Times,,“non-existent ‘sources’”,https://twitter.com/realDonaldTrump/status/987679850545778689
Nancy Pelosi,U.S. House minority leader,“going absolutely crazy”,https://twitter.com/realDonaldTrump/status/987282387196436480
Allegations of collusion between Russia and members of the Trump campaign,,“phony”,https://twitter.com/realDonaldTrump/status/986576502358671361
Allegations of collusion between Russia and members of the Trump campaign,,“was NO COLLUSION (except by the Dems)!”,https://twitter.com/realDonaldTrump/status/986576502358671361
Allegations of collusion between Russia and members of the Trump campaign,,“horrible Witch Hunt”,https://twitter.com/realDonaldTrump/status/987679852345135105
Allegations of collusion between Russia and members of the Trump campaign,,“dishonest”,https://twitter.com/realDonaldTrump/status/987679852345135105
Bashar al-Assad,President of Syria,“Animal Assad”,https://twitter.com/realDonaldTrump/status/982966315467116544
Bashar al-Assad,President of Syria,“Animal Assad”,https://twitter.com/realDonaldTrump/status/982969547283161090
Bashar al-Assad,President of Syria,“a Gas Killing Animal who kills his people and enjoys it!”,https://twitter.com/realDonaldTrump/status/984022625440747520
Chemical attack in Syria,,“mindless”,https://twitter.com/realDonaldTrump/status/982966315467116544
Chemical attack in Syria,,“atrocity”,https://twitter.com/realDonaldTrump/status/982966315467116544
Chemical attack in Syria,,“Another humanitarian disaster for no reason whatsoever”,https://twitter.com/realDonaldTrump/status/982967389028569088
Chemical attack in Syria,,“SICK!”,https://twitter.com/realDonaldTrump/status/982967389028569088
Chemical attack in Syria,,“vicious”,https://twitter.com/realDonaldTrump/status/984017894240604161
Vladimir Putin,President of Russia,“responsible for backing Animal Assad”,https://twitter.com/realDonaldTrump/status/982966315467116544
Russia,,“responsible for backing Animal Assad”,https://twitter.com/realDonaldTrump/status/982966315467116544
Attorney-Client Privilege,,“dead!”,https://twitter.com/realDonaldTrump/status/983662868540346371
Hillary Clinton,,“Crooked”,https://twitter.com/realDonaldTrump/status/984767560494313472
James Comey,Former F.B.I. director,“a proven LEAKER & LIAR”,https://twitter.com/realDonaldTrump/status/984763579210633216
James Comey,Former F.B.I. director,“Virtually everyone in Washington thought he should be fired for the terrible job he did”,https://twitter.com/realDonaldTrump/status/984763579210633216
James Comey,Former F.B.I. director,"“leaked CLASSIFIED information, for which he should be prosecuted”",https://twitter.com/realDonaldTrump/status/984763579210633216
James Comey,Former F.B.I. director,“lied to Congress under OATH”,https://twitter.com/realDonaldTrump/status/984763579210633216
James Comey,Former F.B.I. director,“weak”,https://twitter.com/realDonaldTrump/status/984763579210633216
James Comey,Former F.B.I. director,“untruthful slime ball”,https://twitter.com/realDonaldTrump/status/984767560494313472
James Comey,Former F.B.I. director,“a terrible Director of the FBI”,https://twitter.com/realDonaldTrump/status/984767560494313472
James Comey,Former F.B.I. director,"“His handling of the Crooked Hillary Clinton case, and the events surrounding it, will go down as one of the worst ‘botch jobs’ of history”",https://twitter.com/realDonaldTrump/status/984767560494313472
James Comey,Former F.B.I. director,“It was my great honor to fire James Comey!”,https://twitter.com/realDonaldTrump/status/984767560494313472
Democrats,,"“No Collusion, so they go crazy!”",https://twitter.com/realDonaldTrump/status/984053549742067712
F.B.I. investigation into Hillary Clinton's email server,,“a rigged investigation”,https://twitter.com/realDonaldTrump/status/982943088330108928
Iran,,“responsible for backing Animal Assad”,https://twitter.com/realDonaldTrump/status/982966315467116544
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/984017894240604161
Andrew McCabe,"Deputy Director, F.B.I.",“a total disaster”,http://twitter.com/realDonaldTrump/status/984877999718895616
Andrew McCabe,"Deputy Director, F.B.I.",“He LIED! LIED! LIED!”,http://twitter.com/realDonaldTrump/status/984877999718895616
Andrew McCabe,"Deputy Director, F.B.I.",“was totally controlled by Comey”,http://twitter.com/realDonaldTrump/status/984877999718895616
Andrew McCabe,"Deputy Director, F.B.I.",“McCabe is Comey!!”,http://twitter.com/realDonaldTrump/status/984877999718895616
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“most conflicted of all”,https://twitter.com/realDonaldTrump/status/984053549742067712
The New York Times,,“Failing”,https://twitter.com/realDonaldTrump/status/984015782521835521
The New York Times,,“wrote another phony story”,https://twitter.com/realDonaldTrump/status/984015782521835521
The New York Times,,“the Failing New York Times”,https://twitter.com/realDonaldTrump/status/984371491277099010
The New York Times,,“Fake News”,https://twitter.com/realDonaldTrump/status/984371491277099010
The New York Times,,“a biased newspaper!”,https://twitter.com/realDonaldTrump/status/984371491277099010
Allegations of collusion between Russia and members of the Trump campaign,,“A TOTAL WITCH HUNT!!!”,https://twitter.com/realDonaldTrump/status/983662953894436864
Allegations of collusion between Russia and members of the Trump campaign,,“Fake”,https://twitter.com/realDonaldTrump/status/984015782521835521
Allegations of collusion between Russia and members of the Trump campaign,,“never ending and corrupt”,https://twitter.com/realDonaldTrump/status/984020136255541248
Allegations of collusion between Russia and members of the Trump campaign,,“BAD!”,https://twitter.com/realDonaldTrump/status/984020136255541248
Allegations of collusion between Russia and members of the Trump campaign,,“Fake & Corrupt”,https://twitter.com/realDonaldTrump/status/984053549742067712
U.S. trade pacts,,“STUPID”,https://twitter.com/realDonaldTrump/status/983284198046826496
The Washington Post,,“far more fiction than fact”,https://twitter.com/realDonaldTrump/status/982950739441004544
The Washington Post,,“Story after story is made up garbage - more like a poorly written novel than good reporting”,https://twitter.com/realDonaldTrump/status/982950739441004544
The Washington Post,,"“Always quoting sources (not names), many of which don’t exist”",https://twitter.com/realDonaldTrump/status/982950739441004544
The Washington Post,,"“Story on John Kelly isn’t true, just another hit job!”",https://twitter.com/realDonaldTrump/status/982950739441004544
U.S. Department of Justice,,"“slow walking, or even not giving, the unredacted documents requested by Congress”",https://twitter.com/realDonaldTrump/status/980806557846863872
U.S. Department of Justice,,“An embarrassment to our country!”,https://twitter.com/realDonaldTrump/status/980806557846863872
U.S. Department of Justice,,“BAD!”,https://twitter.com/realDonaldTrump/status/982722926305832960
