"name","my_party","gender.x","my_race","my_type","occupation","office2","gender.y","type","state.x","district","party.y","senate_class","party.x","branch","nationality","office","office3","rank","state.y","state_house","img1","img2","img3","img4"
"jon tester","d","male","w","sen",NA,"Chair of the [[United States Senate Committee on Indian Affairs|Senate Committee on Indian Affairs]]","M","sen","MT",NA,"[[Democratic Party (United States)|Democratic]]",1,"Democrat",NA,NA,"Ranking Member of the [[United States Senate Committee on Veterans' Affairs|Senate Veterans' Affairs Committee]]","Chair of the [[United States Senate Committee on Indian Affairs|Senate Committee on Indian Affairs]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/39/JonTester.jpg",NA,NA,NA
"joseph r. biden jr.","d","male","w","politician",NA,"Chair of the [[United States Senate Committee on Foreign Relations|Senate Foreign Relations Committee]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]] (1969–present)",NA,NA,NA,NA,"Vice President of the United States","Chair of the [[United States Senate Committee on Foreign Relations|Senate Foreign Relations Committee]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/a/ac/Obama_and_Biden_await_updates_on_bin_Laden.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Joe_Biden_official_portrait_crop.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/Joe_Biden_sworn_in_1-20-09_hires_090120-N-0696M-204a.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e4/Official_portrait_of_President_Obama_and_Vice_President_Biden_2012.jpg"
"joy behar","d","female","w","media","Comedienne, writer, actress, host",NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/9c/Joybeharpic.jpg",NA,NA,NA
"juan williams","d","male","h","news","Author, journalist, [[Fox News]]",NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d8/Juan_williams_2011.jpg",NA,NA,NA
"keith ellison","d","male","b","rep",NA,NA,"M","rep","MN",5,"[[Democratic Party (United States)|Democratic]]",NA,"Democrat",NA,NA,"Deputy Chair of the Democratic National Committee",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/93/U.S._Congressman_Keith_Ellison_meets_with_the_TIBET_Leader_Dalai_Lama_in_Minneapolis%2C_MN_in_2011.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/Rep._Keith_Ellison_Holds_Up_a_Rocket_in_Sderot%2C_Israel.png","https://upload.wikimedia.org/wikipedia/commons/f/f8/What%E2%80%99s_Missing_from_the_Debates_-_Rep_Keith_Ellison_%26_Phyllis_Bennis.webm","https://upload.wikimedia.org/wikipedia/commons/c/c9/Keith_Ellison%2C_U.S._House_of_Representatives_from_Minnesota%27s_5th_district_01.jpg"
"ken starr","d","male","w","govt",NA,"[[Independent Counsel]] for the<br>[[Whitewater Controversy]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]] (Before 1975)<br />[[Republican Party (United States)|Republican]] (1975–present)",NA,NA,NA,NA,"Chancellor of [[Baylor University]]","[[Independent Counsel]] for the<br>[[Whitewater Controversy]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/b2/Kenneth_Winston_Starr.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7b/Starr%2C_Kavanaugh%2C_and_Azar.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b4/Kenneth_W._Starr.jpg",NA
"kirsten gillibrand","d","female","w","sen",NA,NA,"F","sen","NY",NA,"[[Democratic Party (United States)|Democratic]]",1,"Democrat",NA,"American",NA,NA,NA,"[[New York (state)|New York]]",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c4/Kirsten_Gillibrand_and_Family_-_Halloween_2009.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1b/Gillibrand_Senate_Swearing_In_2011.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/Gillibrand_Campaign_Photo_2010.gif","https://upload.wikimedia.org/wikipedia/commons/b/b0/Kirsten-gillibrand.ogg"
"lincoln chafee","d","male","w","politician",NA,"[[Mayoralty in the United States|Mayor]] of [[Warwick, Rhode Island|Warwick]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]] (2013–present)",NA,NA,NA,NA,NA,"[[Mayoralty in the United States|Mayor]] of [[Warwick, Rhode Island|Warwick]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/9e/VISITA_DEL_SENADOR_REPUBLICANO_DE_ESTADOS_UNIDOS%2C_LINCOLN_CHAFEE%2C_A_LA_CANCILLER_MARIA_ISABEL_SALVADOR_%282178458340%29.jpg","https://upload.wikimedia.org/wikipedia/commons/3/36/Lincoln_Chafee_official_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/8/80/Chafee_at_the_US_Naval_War_College_in_2014.jpg","https://upload.wikimedia.org/wikipedia/commons/5/58/RI_governor_Lincoln_Chafee_in_2007.jpg"
"mark penn","d","male","w","X",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg","https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg","https://upload.wikimedia.org/wikipedia/commons/2/24/Talbot_Clinton.jpeg",NA
"mark warner","d","male","w","sen",NA,NA,"M","sen","VA",NA,"[[Democratic Party (United States)|Democratic]]",2,"Democrat",NA,NA,"Vice Chair of the [[United States Senate Select Committee on Intelligence|Senate Intelligence Committee]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/8/87/Mark_Warner_DNC_2008.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0c/Mark_Warner_113th_Congress_photo.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Secretary_Kerry%2C_Senators_McCain_and_Warner%2C_House_Minority_Leader_Pelosi%2C_and_Representative_Engel_Chat_Before_Greeting_King_Salman_of_Saudi_Arabia.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e3/Mark_Warner_in_Philadelphia%2C_May_18%2C_2006%2C_gesturing.jpg"
"martin o'malley","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/c1/Martin_O%27Malley_by_Gage_Skidmore_2.jpg","https://upload.wikimedia.org/wikipedia/commons/1/19/Martin_O%27Malley_by_Gage_Skidmore_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/9/99/Martin_O%27Malley_Signature.svg","https://upload.wikimedia.org/wikipedia/commons/c/cd/Official_and_Public_Inauguration_of_Gov_Martin_OMalley_%2813896385334%29.jpg"
