"name","my_party","gender.x","my_race","my_type","occupation","office2","gender.y","type","state.x","district","party.y","senate_class","party.x","branch","nationality","office","office3","rank","state.y","state_house","img1","img2","img3","img4"
"charles koch","r","male","w","X","Chairman and [[chief executive officer|CEO]] of [[Koch Industries]]",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg","https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg","https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg","https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg"
"chris christie","r","male","w","politician",NA,"Chair of the [[Opioid and Drug Abuse Commission]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,"Chair of the [[Opioid and Drug Abuse Commission]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/3f/Chris_Christie_by_Gage_Skidmore_6.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a8/Chris_Christie_by_Gage_Skidmore_5.jpg","https://upload.wikimedia.org/wikipedia/commons/3/35/Christie_2016_RNC_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/4/46/US_Attorney_Chris_Christie.jpg"
"christi craddick","r","female","w","politician","[[Lawyer]]<br> [[Businessman|Businesswoman]]",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican Party]]",NA,NA,NA,NA,"[[Railroad Commission of Texas|Texas Railroad Commissioner]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/16/Christi_Craddick_%28cropped%29.jpg",NA,NA,NA
"christopher wray","r","male","w","trump",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"Director of the Federal Bureau of Investigation",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/19/Christopher_Wray_Signature.png","https://upload.wikimedia.org/wikipedia/commons/1/14/Christopher_A_Wray_DOJ_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/Director_Wray_Installation_Ceremony_%2824123074718%29.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e9/Christopher_A._Wray_taking_the_Oath_for_FBI_Director.jpg"
"chuck grassley","r","male","w","sen",NA,"Chair of the [[International Narcotics Control Caucus|Senate Narcotics Caucus]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,"Chair of the [[International Narcotics Control Caucus|Senate Narcotics Caucus]]",NA,"[[Iowa]]",NA,"https://upload.wikimedia.org/wikipedia/commons/c/cc/Chuck_Grassley_official_photo_2017.jpg","https://upload.wikimedia.org/wikipedia/commons/1/11/Chuck_Grassley_by_Gage_Skidmore.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a4/Grassley_town_hall_046_%283814559121%29.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/Chuck_Grassley_1979_congressional_photo.jpg"
"clay higgins","r","male","w","rep",NA,NA,"M","rep","LA",3,"[[Republican Party (United States)|Republican]]",NA,"Republican","{{army|United States}}",NA,NA,NA,"[[File:Army-USA-OR-06.svg|15px]] [[Staff sergeant#U.S. Army|Staff Sergeant]]","[[Louisiana]]",NA,"https://upload.wikimedia.org/wikipedia/commons/f/fb/Clay_Higgins_official_portrait.jpg",NA,NA,NA
"colin powell","r","male","b","govt",NA,"16th [[National Security Advisor (United States)|United States National Security Advisor]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]] (1995–present)",NA,NA,"[[United States Army]]",NA,"65th [[United States Secretary of State]]","16th [[National Security Advisor (United States)|United States National Security Advisor]]","[[General (United States)|General]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/6/67/Ki-moon_Powell.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e9/GEN_Colin_Powell.JPG","https://upload.wikimedia.org/wikipedia/commons/d/dc/Condoleezza_Rice_Colin_Powell_George_W._Bush_Donald_Rumsfeld.jpg","https://upload.wikimedia.org/wikipedia/commons/7/74/Coat_of_Arms_of_Colin_Powell.svg"
"corey lewandowski","r","male","w","trump",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/4/42/Corey_Lewandowski_2017-08-03.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Corey_Lewandowski_%2828815701733%29.jpg",NA,NA
"corey stewart","r","male","w","politician",NA,"[[Occoquan, Virginia|Occoquan]] District Supervisor",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,"[[Occoquan, Virginia|Occoquan]] District Supervisor",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f5/Corey_Stewart_8_by_10_crop.jpg",NA,NA,NA
"dan bongino","r","male","w","news",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/1c/Bongino_Senate.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4e/Dan_Bongino_by_Gage_Skidmore.jpg",NA,NA
"dana perino","r","female","w","news",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"Member of the [[Broadcasting Board of Governors]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/93/Perino_-_Bush_-_Snow_20070831-6_p083107cg-0044jpg-515h.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Perino_at_CPAC_2016.jpg","https://upload.wikimedia.org/wikipedia/commons/9/97/Dana_Perino_%2825238814459%29.jpg",NA
"dana rohrabacher","r","male","w","rep",NA,NA,"M","rep","CA",48,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,"Member of the<br>[[U.S. House of Representatives]]<br>from California",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/2/22/U.S._Congressman_Dana_Rohrabacher_shakes_hands_with_a_supporter_wearing_Guy_Fawkes_mask.jpg","https://upload.wikimedia.org/wikipedia/commons/7/74/U.S._Congressman_Dana_Rohrabacher_performing_guitar_for_an_event_at_the_University_of_California%2C_Irvine.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/U.S._Congressman_Dana_Rohrabacher_speaking_at_the_2013_California_Young_Americans_for_Liberty_State_Convention.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/FRC_President_Tony_Perkins_presents_the_%22True_Blue%22_award_to_Congressman_Dana_Rohrabacher.jpg"
"danny tarkanian","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/bb/Danny_Tarkanian_by_Gage_Skidmore.jpg",NA,NA,NA
"david bossie","r","male","w","trump",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/4/4b/David_Bossie_by_Gage_Skidmore_5.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fe/David_Bossie_by_Gage_Skidmore_4.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0d/David_Bossie_by_Gage_Skidmore_3.jpg",NA
"dean heller","r","male","w","sen",NA,"15th [[Secretary of State of Nevada]]","M","sen","NV",NA,"[[Republican Party (United States)|Republican]]",1,"Republican",NA,NA,NA,"15th [[Secretary of State of Nevada]]",NA,"[[Nevada]]",NA,"https://upload.wikimedia.org/wikipedia/commons/6/69/Dean_Heller%2C_official_portrait%2C_114th_Congress.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Dean_Heller%2C_Official_Portrait%2C_112th_Congress_%28Rep%29.jpg",NA,NA
"deb fischer","r","female","w","sen","Rancher",NA,"F","sen","NE",NA,"[[Republican Party (United States)|Republican]]",1,"Republican",NA,NA,NA,NA,NA,"[[Nebraska]]",NA,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Deb_Fischer%2C_official_portrait%2C_115th_Congress.jpg",NA,NA,NA
"debbie lesko","r","female","w","rep",NA,NA,"F","rep","AZ",8,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,NA,NA,NA,"[[Arizona]]",NA,"https://upload.wikimedia.org/wikipedia/commons/f/fd/Debbie_Lesko_%2827816240978%29.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cd/Debbie_Lesko%2C_official_portrait%2C_115th_Congress.jpg",NA,NA
"devin nunes","r","male","w","rep",NA,NA,"M","rep","CA",22,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,"Chair of the [[United States House Permanent Select Committee on Intelligence|House Intelligence Committee]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/cc/Devin_Nunes_by_Gage_Skidmore.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/President_George_W._Bush_and_Congressman_Devin_Nunes.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0f/Devin_Nunes_Signature.gif","https://upload.wikimedia.org/wikipedia/commons/f/f0/Devin_Nunes.jpg"
"diane black","r","female","w","rep",NA,NA,"F","rep","TN",6,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/2/2a/RepBlack_OfficialPhoto.jpg",NA,NA,NA
"don blankenship","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Constitution Party (United States)|Constitution]] (2018–present) <br>[[Republican Party (United States)|Republican]] (until 2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/da/Don_Blankenship_Image_%28cropped%29.jpeg",NA,NA,NA
"donald trump jr","r","male","w","family","{{flatlist|
*Businessman
*television personality}}",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/d/da/Donald_Trump_Jr_at_rally_in_Iowa.jpg","https://upload.wikimedia.org/wikipedia/commons/7/75/Trump_Family_Hand_Up.jpg"
"doug burgum","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f2/Gov._Doug_Burgum_presents_an_award_%28cropped%29.jpg",NA,NA,NA
"ed gillespie","r","male","w","govt",NA,"Chair of the [[Republican National Committee]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"[[Counselor to the President]]","Chair of the [[Republican National Committee]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/33/Ed_Gillespie_at_work_on_the_Mideast_Trip_Notes.jpg","https://upload.wikimedia.org/wikipedia/commons/c/ce/Ed_Gillespie_by_Gage_Skidmore_2.jpg",NA,NA
"ed rollins","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg","https://upload.wikimedia.org/wikipedia/commons/3/3f/Portraits_of_Assistants_to_President_Ronald_Reagan_%28cropped%29.jpg",NA,NA
"eric trump","r","male","w","family","{{flatlist|
*Businessman
*philanthropist
*television personality}}",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/75/Trump_Family_Hand_Up.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3a/Trump_CAUCUS_%2824471521350%29_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/Eric_trump.jpg","https://upload.wikimedia.org/wikipedia/commons/8/84/Eric_Trump_by_Gage_Skidmore.jpg"
"erick erickson","r","male","w","media","Writer, columnist, and radio host",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"Member of the [[Macon City Council]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/96/Erick_Erickson_by_Gage_Skidmore.jpg",NA,NA,NA
"frank luntz","r","male","w","X","[[Republican Party (United States)|Republican Party]] strategist, communication consultant, and [[political pollster]]",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d9/Frank_luntz_2009.jpg","https://upload.wikimedia.org/wikipedia/commons/2/22/Frank_Luntz_by_Gage_Skidmore.jpg",NA,NA
"george bush","r","male","w","politician",NA,"Governor of Texas",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{Air force|United States}} <br/> {{Ublist|[[File:Texas Air National Guard patch.png|25px]] [[Texas Air National Guard]]|[[File:Shield of the Alabama Air National Guard.jpg|25px]] [[Alabama Air National Guard]]}}",NA,"President of the United States","Governor of Texas","{{Dodseal|USAFO2|25}} [[First lieutenant]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f6/George_W_Bush_and_Alberto_Gonzales.jpg","https://upload.wikimedia.org/wikipedia/commons/7/76/George_W_Bush_approval_ratings.svg","https://upload.wikimedia.org/wikipedia/commons/b/b2/George_W._Bush_welcomes_Silvio_Berlusconi.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/George_W_Bush_Overseas_Visits.svg"
"george pataki","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/7/77/Yuko_Nii_and_George_Pataki.jpg","https://upload.wikimedia.org/wikipedia/commons/1/13/George_Pataki_Signature.svg","https://upload.wikimedia.org/wikipedia/commons/d/d7/George_Bush_and_George_Pataki.jpg","https://upload.wikimedia.org/wikipedia/commons/d/df/Governor_of_New_York_George_Pataki_at_Belknap_County_Republican_LINCOLN_DAY_FIRST-IN-THE-NATION_PRESIDENTIAL_SUNSET_DINNER_CRUISE%2C_Weirs_Beach%2C_New_Hampshire_May_2015_by_Michael_Vadon_19_%28cropped%29.jpg"
"george w. bush","r","male","w","politician",NA,"Governor of Texas",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{Air force|United States}} <br/> {{Ublist|[[File:Texas Air National Guard patch.png|25px]] [[Texas Air National Guard]]|[[File:Shield of the Alabama Air National Guard.jpg|25px]] [[Alabama Air National Guard]]}}",NA,"President of the United States","Governor of Texas","{{Dodseal|USAFO2|25}} [[First lieutenant]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f6/George_W_Bush_and_Alberto_Gonzales.jpg","https://upload.wikimedia.org/wikipedia/commons/7/76/George_W_Bush_approval_ratings.svg","https://upload.wikimedia.org/wikipedia/commons/b/b2/George_W._Bush_welcomes_Silvio_Berlusconi.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/George_W_Bush_Overseas_Visits.svg"
"geraldo rivera","r","male","h","media","Journalist, talk show host, writer, attorney",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/39/Geraldo_Rivera_circa_1970s.JPG","https://upload.wikimedia.org/wikipedia/commons/c/cf/Geraldo_Rivera_at_White_House_%285682334468%29_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/0/03/GeraldoCHCI.jpg",NA
"glenn beck","r","male","w","media","Talk show host, political commentator, producer entrepreneur",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]] (before 2014)<br />[[Independent politician|Independent]] (2014–present)",NA,NA,NA,"American",NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/58/Glenn_Beck_Day_supporters.jpg","https://upload.wikimedia.org/wikipedia/commons/0/07/Glenn_Beck_Crowd_In_Front_of_Memorial.jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Glenn_Beck_signature.gif","https://upload.wikimedia.org/wikipedia/commons/9/94/Glenn_Beck_Restoring_Honor_Hands_Out.jpg"
"glenn hegar","r","male","w","govt",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"38th [[Texas Comptroller of Public Accounts|Comptroller of Texas]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/9e/Hegar%2C_Glenn_-_09_5x7.jpg",NA,NA,NA
"greg abbott","r","male","w","politician",NA,"Associate Justice of the [[Supreme Court of Texas]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,"Associate Justice of the [[Supreme Court of Texas]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/b3/Greg_Abbott_2015.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4c/Greg_Abbott%2C_Governor_of_Texas_%2826279225765%29.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3f/Greg_Abbott_by_Gage_Skidmore.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/AbbottSignature.jpg"
"henry kissinger","r","male","w","govt",NA,"8th [[National Security Advisor (United States)|United States National Security Advisor]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{flag|United States Army}}",NA,NA,"8th [[National Security Advisor (United States)|United States National Security Advisor]]","[[File:US Army WWII SGT.svg|18px]] [[Sergeant]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Reagan_with_Henry_Kissinger.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/Reuni%C3%B3n_Pinochet_-_Kissinger.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4a/Sec_of_State_Kissinger.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Henry_Kissinger_Signature_2.svg"
"henry kravis","r","male","w","business",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/6/6a/Henry_Kravis_2016.jpg","https://upload.wikimedia.org/wikipedia/commons/9/99/Henry_Kravis.png",NA,NA
"henry mcmaster","r","male","w","politician",NA,"50th [[List of Attorneys General of South Carolina|Attorney General of South Carolina]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{army|United States}}",NA,NA,"50th [[List of Attorneys General of South Carolina|Attorney General of South Carolina]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/c1/South_Carolina_Governor_Henry_McMaster.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bd/Henry_McMaster_official_photo.jpg",NA,NA
"hugh hewitt","r","male","w","news","Radio talk show host, lawyer, law professor, [[Television presenter|Television host]], political commentator, author",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican Party]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/30/Hugh_Hewitt_by_Gage_Skidmore.jpg",NA,NA,NA
"jeanine pirro","r","female","w","govt",NA,"Judge of the Westchester County Court",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"[[District Attorney]] of [[Westchester County, New York|Westchester County]]","Judge of the Westchester County Court",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/9/9a/Judge_Jeanine_Pirro_2017.jpg",NA,NA,NA
"jeb bush","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Jeb_Bush_Earth_Day_Rookery_Bay_2004.jpg","https://upload.wikimedia.org/wikipedia/commons/4/46/Jeb_Bush_%2822709849565%29.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3d/Jeb_Bush_as_Florida_Secretary_of_Commerce.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9a/Jeb_Bush_Signature.svg"
"jeb hensarling","r","male","w","rep",NA,NA,"M","rep","TX",5,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,"Chair of the [[United States House Committee on Financial Services|House Financial Services Committee]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/0a/Jeb_Hensarling_official_photo.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/U.S._Congressman_Jeb_Hensarling_%28R-Texas%29_speaking_at_the_2015_Reagan_Dinner_for_the_Dallas_County_Republican_Party.jpg",NA,NA
"jeff flake","r","male","w","sen",NA,NA,"M","sen","AZ",NA,"[[Republican Party (United States)|Republican]]",1,"Republican",NA,NA,NA,NA,NA,"[[Arizona]]",NA,"https://upload.wikimedia.org/wikipedia/commons/b/b9/Jeff_Flake_%2821188573650%29.jpg","https://upload.wikimedia.org/wikipedia/commons/6/62/Jeff_Flake%2C_official_portrait%2C_113th_Congress.jpg","https://upload.wikimedia.org/wikipedia/commons/5/55/Jeff_Flake_by_Gage_Skidmore_3.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Jeff_Flake_%2840435846494%29.jpg"
"jeff sessions","r","male","w","trump",NA,"44th [[Attorney General of Alabama]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{army|United States}}",NA,"84th [[United States Attorney General]]","44th [[Attorney General of Alabama]]","[[File:US-O3 insignia.svg|18px|link=|alt=]] [[Captain (United States O-3)|Captain]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/31/US_Navy_040416-N-5821W-001_Georgia_Senator_Saxby_Chambliss_and_Alabama_Senator_Jeff_Sessions_talk_to_Sailors.jpg","https://upload.wikimedia.org/wikipedia/commons/c/ca/Senator_Jeff_Sessions_arrives_before_the_58th_Presidential_Inauguration_Parade%2C_Jan._20%2C_2017.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a6/Sessions_Recusal.pdf","https://upload.wikimedia.org/wikipedia/commons/a/a0/Sessions_and_Shelby_meet_Bush.jpg"
"jerry falwell","r","male","w","media","Pastor, educator, evangelist, activist",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"1st President of [[Liberty University]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/11/Jerry_Falwell_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Jerry_Falwell%2C_1984.jpg",NA,NA
"jim jordan","r","male","w","rep",NA,NA,"M","rep","OH",4,"[[Republican Party (United States)|Republican]]",NA,"Republican",NA,NA,NA,NA,NA,"[[Ohio]]",NA,"https://upload.wikimedia.org/wikipedia/commons/9/9a/Jim_Jordan_official_photo%2C_114th_Congress.jpg",NA,NA,NA
"jim justice","r","male","w","business","Businessman",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]] (before 2015, 2017–present)",NA,NA,NA,NA,"36th [[List of Governors of West Virginia|Governor of West Virginia]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/8/80/Jim_Justice_2017_InaugurationHighlights_PB-74_%2832406322245%29.jpg","https://upload.wikimedia.org/wikipedia/commons/5/51/Jim_Justice_2017_InaugurationHighlights_PB-63_%2832366955776%29_%28cropped%29.jpg",NA,NA
"jim renacci","r","male","w","rep",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,"[[Ohio]]",NA,"https://upload.wikimedia.org/wikipedia/commons/5/58/Jim_Renacci%2C_Official_Portrait%2C_112th_Congress.jpg",NA,NA,NA
"joe digenova","r","male","w","media",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"[[United States Attorney for the District of Columbia]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg","https://upload.wikimedia.org/wikipedia/commons/f/fc/Padlock-silver.svg",NA,NA
"john bolton","r","male","w","trump",NA,"3rd [[Under Secretary of State for Arms Control and International Security Affairs]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{Ublist| [[Maryland Army National Guard]]| [[United States Army Reserve]]}}",NA,"27th [[National Security Advisor (United States)|United States National Security Advisor]]","3rd [[Under Secretary of State for Arms Control and International Security Affairs]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/06/Secretary_Pompeo_Poses_for_a_Photo_With_Advisor_Bolton%2C_President_Trump_and_Vice_President_Pence_%2841811551572%29.jpg","https://upload.wikimedia.org/wikipedia/commons/3/31/John_R._Bolton%2C_US_Diplomat_2008.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7b/Former_U.S._Ambassador_to_the_U.N._John_Bolton_speaking_at_the_2015_Conservative_Political_Action_Conference_%28CPAC%29_in_National_Harbor%2C_Maryland.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d5/Ambassador_John_R_Bolton%2C_Senior_Fellow%2C_American_Enterprise_Institute%3B_US_Permanent_Representative_to_the_United_Nations_%282005-6%29_%288401311507%29.jpg"
"john cornyn","r","male","w","sen",NA,NA,"M","sen","TX",NA,"[[Republican Party (United States)|Republican]]",2,"Republican",NA,NA,"[[Party leaders of the United States Senate|Senate Majority Whip]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/b7/John_Cornyn_by_Gage_Skidmore.jpg","https://upload.wikimedia.org/wikipedia/commons/b/be/JohnCornynAttorneyGeneral1997.jpg","https://upload.wikimedia.org/wikipedia/commons/3/39/John_Cornyn_official_portrait%2C_2009.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/CornynMajorityWhip2014.jpg"
"john cox","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/cc/John_Cox_at_Lincoln_Day_Dinner_in_Des_Moines_%28470856458%29.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e2/John_H._Cox.jpg",NA,NA
"john hoeven","r","male","w","sen",NA,NA,"M","sen","ND",NA,"[[Republican Party (United States)|Republican]] (1998–present)",3,"Republican",NA,NA,NA,NA,NA,"[[North Dakota]]",NA,"https://upload.wikimedia.org/wikipedia/commons/f/fd/John_Hoeven_Signature.svg","https://upload.wikimedia.org/wikipedia/commons/6/6d/Hoeven_Official_Portrait_2014.JPG",NA,NA
"john kasich","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d7/John_Kasich_by_Gage_Skidmore_3.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/John_Kasich_by_Gage_Skidmore_2.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/John_Kasich_shakes_hands_with_Ronald_Reagan.jpg","https://upload.wikimedia.org/wikipedia/commons/0/06/John_Kasich_meets_Nixon.png"
